video_id,comment_id,parent_id,author_channel_id,author_display_name,text,like_count,reply_count,published_at,is_reply,niche
ciJomoDnNAY,UgySQUS8ttnDI8UEpi14AaABAg.AWBM40eTPiSAWBQoLABSAg,UgySQUS8ttnDI8UEpi14AaABAg,UCIKqQ5HAqV61brlgw92s-eA,@scoot5642,"@Larilar1 streamers looks impressive due to clip farming. most of the flashy plays posted here rarely work. excluding most igl, almost every players could make these plays. there are levels to this lol",0,0,2026-04-29T13:37:38Z,True,valorant
ciJomoDnNAY,UgxljoC3BkQsoyvrsYZ4AaABAg,,UC-cvUrQ_CkC6Ugx_outCmsg,@t3ng3nuzu1,"What mouse pad do you use???
It's very interesting to know!!!",0,0,2026-05-03T23:05:01Z,False,valorant
k6YT0G4FK78,UgxixfQVNI1mryj5eTp4AaABAg,,UCcfp3y4uhc__8O95Ap_9F8g,@codegaming935,8:33 that site clearing and entry though 😮🔥🐐,0,0,2026-04-15T15:07:47Z,False,valorant
zniikXNIIpE,UgyXicbTdDAOg0XbQkp4AaABAg,,UC1GrI2W5YjEn8wyDFm2p35A,@Kubaexe-ju6tn,Are u using control freaks,2,1,2026-04-12T14:59:03Z,False,valorant
GlW8KmJaRvk,Ugx-6whOByXj_L9ToS94AaABAg,,UCF55jZqvdXB9qI83qmlHrlg,@FryGravyy,Iron rank nhi h vo ek alag planet h jo abhi 1969 me chal rha h 😂😂,1,0,2024-10-07T13:42:40Z,False,valorant
ciJomoDnNAY,UgyGFaPPoufEb6fPKc94AaABAg,,UCqptAv_ZDgZwPW1-5jwbN6g,@rjom145,3:42 there's a what?,3,1,2026-04-29T13:02:02Z,False,valorant
IJdbjEi4OvQ,UgwTOdKug4l10cyaRFB4AaABAg,,UCq9zGvTqdhuXm6J6FjpyYuQ,@user-sr9jl6em6o,So faster,0,0,2026-04-16T06:29:56Z,False,valorant
ciJomoDnNAY,UgzqFQeKwRyJiWw_8-l4AaABAg,,UCeQT19V-A-M8TVTDNCBCTrQ,@sunnymadness,"Hey there, content demon 🤌🏻💯✨",0,0,2026-04-29T17:15:29Z,False,valorant
k6YT0G4FK78,Ugx-kZI-veQXHzdm1nN4AaABAg,,UCtLpVVXjj0u0shL-lMltAHw,@parthdhadve8619,9.10 this genuinely feels like a monster turning at you on the slightest noise you make,31,1,2026-04-15T13:52:30Z,False,valorant
QQYKN5MWFyU,UgzMWUax0fQaixyTUIF4AaABAg,,UCHVwckDbTUrjanbp26nA53A,@야호-k7e,"Bro, can I ask you a question?
Is Bro applying GeForce Experience to Villorant?",0,0,2022-10-09T17:45:50Z,False,valorant
QQYKN5MWFyU,UgwmAwDNV9XUlOGnbjN4AaABAg,,UC22H9lNQyiumvuAbokXgwpw,@SiaoaN7414,You are the epic bro,0,0,2022-09-20T16:23:27Z,False,valorant
bmFcX9D_Eh8,UgyYc31y9lwFcXzCpuh4AaABAg,,UC0-fqRkNO-_X5adVbXO5KAg,@theonewhoasked2555,If this guy's radiant I'm tenz 😂,1,0,2025-12-05T15:38:17Z,False,valorant
IJdbjEi4OvQ,UgwyEU4bAyJAlakl9BV4AaABAg,,UCgU-SxNBmxWEkM1O983sa2Q,@MrWall4E,Sunset and corrode is out of the map pool?,0,0,2026-04-18T15:56:11Z,False,valorant
AcrY3p4mncw,Ugx8rHYLGA82nKnPigV4AaABAg,,UCYcXGjE4sH4rHRgmgS1H6rA,@bxgels,This is NOT diamond,1,2,2026-03-08T03:17:53Z,False,valorant
QQYKN5MWFyU,UgxoTTbc-P-lC80NQeV4AaABAg,,UCCb9P1I98PYLt8zb3tUMSTQ,@c4pt4in_sl4yer2,"bro whre u from?
plz rply",0,0,2022-09-20T16:57:46Z,False,valorant
QQYKN5MWFyU,UgxidORmiKw5A1qbB994AaABAg,,UCMtq1LjQ93_KA7N3QoFvGBA,@wallonix.,what keyboard do u use on this video?,0,1,2022-09-20T16:23:59Z,False,valorant
k6YT0G4FK78,Ugycw09P7qqFoFi_OYV4AaABAg,,UCq61i8KDX8BK-KT-4wsLv3g,@vailorz,YEAHHHH LETS GO TEMETTTTT,0,0,2026-04-15T21:58:05Z,False,valorant
GlW8KmJaRvk,UgzMGgUEfghF-CxmERB4AaABAg,,UCTT5ndZFjRZBWa0AlpCKHTg,@clutchgodff_yt7142,Strat hai kya kisi pe😂,0,0,2025-09-08T17:29:16Z,False,valorant
nCKmGW3vYa8,UgznS-Y88JOR6Qb2HGF4AaABAg,,UCE7Dw7N7P0xLWT2YTYS9rqw,@drew_rettstatt3395w,i think the two guys on the boat with the stuffed penguin is a happy feet reference,0,0,2023-05-16T15:15:57Z,False,valorant
UKJeCLrLEKg,UgzoP9kR46dpN9Bd1oZ4AaABAg.ATlwNMkDdyqATnPPzly8Sd,UgzoP9kR46dpN9Bd1oZ4AaABAg,UC1EP6T-zbExB9shUHWswE8A,@reeb2284,yk what that game is called?,0,0,2026-03-01T03:21:38Z,True,valorant
GlW8KmJaRvk,UgzY0QrIdSiOFLWOQBB4AaABAg,,UCq0DR-0i5XRSkRa-KhrVtvg,@VALo-du4lc,4:38 : that cypher got me of guard 🤣😂😂,35,0,2024-10-07T04:41:48Z,False,valorant
nCKmGW3vYa8,UgxsoXylVtfJDXQT2od4AaABAg,,UC3NmQ0anhZLY5kRgeF_Q9-Q,@armii_8330,2:15 they still exist if u turn up ur  setting to high,2,0,2023-02-21T18:43:21Z,False,valorant
9W_LQOKeQKE,UgwPruzg85g81RqPSOl4AaABAg,,UCEMoQ1VQ4f7aWyt6KfWXkGQ,@torbenludwig2439,could we maybe play together your my fav youtuber :),1,0,2026-04-12T11:19:29Z,False,valorant
mGMjmmjojBA,Ugxrfc2VZwmT4SKTIuJ4AaABAg,,UCoIWLBBayWf7oETKcNpAicg,@biptya_animates,Harry Potter playin diff😭😭😭,0,0,2025-11-06T11:14:21Z,False,valorant
AcrY3p4mncw,UgxgAYqT7-1nqBnAdmF4AaABAg,,UC7kVKotlTRWLXlAlIank_Ig,@TheOfficalHonouredOne,15:41 how is clove a duelist she is a controller,1,0,2026-03-12T05:24:03Z,False,valorant
nCKmGW3vYa8,UgyaFvgYoayqJuK5d114AaABAg,,UC3jnJcIbKEmhAY6B7oH0VyQ,@rizkisaputra9130,You miss the astra bug that she can sell her star and buy a marshal in first round,1,0,2023-03-05T10:08:57Z,False,valorant
GlW8KmJaRvk,Ugxh8PirLcbQ7yUfBbR4AaABAg,,UCchMVt5X1_qq1u59_BDIRRA,@OyeDevSharma,Untouchableemommy ka tag mil jata tho 😶👉🏻👈🏻,0,0,2024-10-08T04:50:04Z,False,valorant
k6YT0G4FK78,UgzigAVVTE9qDhtD7BF4AaABAg,,UCXiXisnOOn5NTQPbGXvwo2g,@zpenta,TenZ being TenZ for 12 minutes straight,91,0,2026-04-15T11:30:47Z,False,valorant
