channel_id,channel_title,subscriber_count,video_count,view_count_total
UCstasjKea1Mrvbk475-JCuQ,KgProz,10500,79,1472594
UC1lRz_clX4l9ORCtjDRBs1g,Jetro,83600,117,26466206
UC89yB-wIAc8kPJEDwDcv9hw,Kobbi TV,112000,215,22752348
UC3KMLo09dvzTUoA2iLrRxNg,Dandy Andy,34300,111,5052810
UC93uuDyuin2YXOY2ZVn8nkw,Dittozkul,171000,622,90375775
UCI1-J45WXprOQQ_m9pmfW9A,Hazard,633000,4373,262456833
UCVe_IiX512eg4CZxiNS3ohg,Reco,15800,97,1532402
UC_9W6Z5Y3lDpLk47Y_y5ITQ,Daily Valorant,210000,2249,162222917
UC7GQ_NSjRT1rp3IiX5w_dRA,Vinewood Public Access,2140,251,286465
UCUkpUWvtDg1ABs0BjQ-f7Jw,Ar Ar Plays,681000,390,168150593
UClCvmntMJCrerMDSc1WQGNg,Omz,5960000,1199,1594867447
UCKOknpIPveZTYbPhfcZ5_CQ,Minecraft Battle FD,3240,21,1505761
UCX87GNM2-rZr6n0bpjjfcdg,Michael Pama,3670,167,1568852
UCh8tdbEFaciwvhZMB6BaAvQ,Cedric Playz,2880,212,1008639
UCGUw3AF2jrMkv4Ts73aoJ8Q,The Cosmic Boy,482000,2119,193644446
UCtMVHI3AJD4Qk4hcbZnI9ZQ,SomeOrdinaryGamers,3820000,3716,1429241095
UC5xP9r_pGnurljEtsWtKV4A,mr badri 17,4400,74,847144
UC0siHv9ReVxBp3bJYWGeNAw,Sav,35000,96,4189046
UCyh5g11KbG_YdbRw1ktAJqA,Lost Panda,1300000,1754,1252528226
UCbWYmIdZ2hpVMpPhRI9pI5Q,Cadres,22500000,3116,10725854709
UCfTJ4J8dyD2W_1ap5RQM1Iw,Game World Art,24200,578,2517600
UCsTA4pLE1wihnzih2QAs9Og,TooBizz +,285000,53,37448368
UCckPYr9b_iVucz8ID1Q67sw,TenZ,2740000,1046,427026643
UCQEBCe4avav7yb9TOypMThg,Doctor Freeze,128000,403,27858831
UC9fpAQPR4sWOlCtARTETadQ,Karry Mini,615000,329,237273763
UCA1d3HFGFUmkKr2JIUA5Vlw,VALORANT Champions Tour,1270000,3606,367710341
UCmFQ94K8jkVCfh58QrelHXw,RockStation,2890,153,451004
UCLRahZpt1yWDL_nBToaw3og,dessirous POV,5440,9,278938
UCKy1dAqELo0zrOtPkf0eTMw,IGN,19800000,180338,21355284105
UCudfe45r4oSKslaKvMhtQoQ,Vile,19500,8,4050452
UCBYJQc6TzY827IzP7qW9NVA,Valorant by JARSO,48100,647,23323599
UCKVei70N69V3V5wBQixHZbg,shreeman legend live,2460000,3223,570286899
UC72PuhDwKtZ5MikpGNhPAtA,TGG,2090000,1064,610536701
UC1--Lh0c2PhkyRxpvNcXWaA,AminOnPC,566000,371,92636714
UC18jZ_eT7OXUe_XVZVh9cmA,Alanah Streams,45100,264,3065608
UCrijhLaBO1JGFzdxVzdVsEg,PlayGround,235000,417,116344425
UCgMk7Baw2VDqPWhn-L98l5w,Cubi - Minecraft  Animation,104000,45,30910970
UCoOq2zscvS3lkzoxlw1FdUw,AndyPants Gaming,296000,135,27818472
UC_NqVr5AA1vziN0ZLR-QiLw,Milo and Chip,3880000,710,2913466454
UCcCTL6IEX64sXTOba-Iz6gA,Rem,262000,569,246294947
UCxc7QhSuo4MWrkGsaMVCqAw,Esoni TV,1410000,239,305999139
UCnD0OseWT-jVB3xX1TAo1jg,GOD LYRICS,803000,961,382948017
UCo6sIbizEsjtN2QYC4vgt6A,CYBER GAMING,60100,679,13070970
UCEKzBrS8x_Ixh1UERc0xkgA,Hakiii,188000,1347,45003989
UC8UCtJSGGLKlUMxLOeMlcDw,liuh,40700,230,4391466
UCfB7vdi-hl4lvKUk0mkMzvg,InkTV,87100,2616,19582760
UCs_g7QvMYJtEq7TRq42h_gA,TheGamerStep,52900,4523,21582102
UCiahNQ1YjzkVmM5ejJODbig,Swolabear,14500,237,3029216
UCktuFRuoTXf7MrI8FqCgV3A,Shinjiru,17100,22,1187825
UC2lJPgRa6PeDNLUqlCCmDAQ,MathChief - The Best of Gaming!,808000,1626,170947984
UCNyOePfTniZu-hl1n_Hpqvw,Stumble ,209000,67,46678721
UCZOp6ge_Bp2HT7kkwEFmhnw,zevicttt,274000,5190,49423020
UCc2RL8jvY1rJPuCnJVsIQWw,MSToons,1390000,206,739849511
UCNv4A1UmHJNNEzO28T-i4oQ,Grid,7260,253,1460885
UC3-CVRgsaN8AAPDSRy6V7FA,Chris kids show,3030000,300,1093557180
UC8LtzLAQx6Z0aGXa3cIbTDw,Pooborama,92000,1513,25493004
UCZhGswZ7B6X7VRxGh6qDvLg,WesNemo,186000,1876,65054897
UCW3Ms3ZxVaZUniP-HifWCDg,Karry Kraft,1290000,310,504855008
UC_DgclLC9mCRVsUqi6opwnw,KingAlexHD,829000,21088,134051367
UC-Ep-9ZqGzXfCybFnCsxr4g,j,56800,101,7919581
UCdhNvtajwypOXAOUQB_XO9Q,Joel Franco,50000,298,16989986
